Booking_ID,Ticket_Price,Distance_km,Flight_Duration_hr,Passenger_Age,Airline,Travel_Class,Departure_City,Payment_Method
FB1080,4342.9,8400.5,8.19,56,Q Airways,First,Delhi,Credit Card
FB1081,3191.83,3030.0,3.98,49,Airways,First,New York,UPI
FB1082,1788.31,7616.4,5.74,60,Airways,Economy,Dubai,Cash
FB1083,505.08,9040.8,3.09,60,B Airways,Business,London,Credit Card
FB1084,1692.72,2859.0,17.24,31,B Airways,Economy,Delhi,PayPal
FB1085,1760.88,1001.3,16.69,20,E Airlines,Premium Economy,Delhi,UPI
FB1086,3702.11,1832.4,23.79,63,Airways,Business,New York,PayPal
FB1087,3260.28,7390.2,18.38,49,Airways,Premium Economy,Singapore,Credit Card
FB1088,4458.62,10238.5,1.78,60,Airways,Premium Economy,London,Cash
FB1089,2466.63,826.5,22.16,53,Q Airways,Business,Singapore,Credit Card
FB1090,774.05,8889.6,21.64,34,Q Airways,First,Dubai,UPI
FB1091,3623.57,4293.4,11.36,65,B Airways,Premium Economy,Frankfurt,Cash
FB1092,3851.77,5898.8,14.85,20,E Airlines,Economy,Singapore,Cash
FB1093,2894.13,11167.7,24.41,74,S Airlines,First,Mumbai,Cash
FB1094,3900.64,4184.1,13.54,27,E Airlines,First,Singapore,Debit Card
FB1095,2570.22,5744.4,22.68,70,Q Airways,Business,Frankfurt,UPI
FB1096,2709.12,460.1,2.53,64,Q Airways,Economy,Mumbai,Debit Card
FB1097,2252.2,1254.7,5.18,57,B Airways,Economy,Delhi,PayPal
FB1098,322.01,3325.5,11.3,35,S Airlines,First,Dubai,Cash
FB1099,717.88,625.9,14.83,20,Airways,Premium Economy,Frankfurt,Debit Card
FB1100,350.86,7687.1,20.5,56,S Airlines,Premium Economy,Paris,Credit Card
FB1101,3254.77,5288.9,24.71,79,S Airlines,Economy,Mumbai,Debit Card
FB1102,1708.91,6713.3,10.03,27,S Airlines,First,Dubai,Net Banking
FB1103,2641.14,2343.4,1.66,69,B Airways,First,Singapore,PayPal
FB1104,4556.32,3762.4,20.13,26,Q Airways,First,Paris,Cash
FB1105,1396.6,8066.7,15.31,63,Airways,Business,Singapore,Cash
FB1106,2169.84,11594.0,5.36,72,S Airlines,Economy,Frankfurt,PayPal
FB1107,3826.65,889.9,12.62,63,Airways,Economy,Delhi,PayPal
FB1108,1298.23,10717.5,18.69,28,S Airlines,Premium Economy,Frankfurt,UPI
FB1109,569.5,7049.5,19.38,77,Q Airways,Premium Economy,New York,Credit Card
FB1110,1590.81,6897.9,12.74,50,Airways,Economy,Frankfurt,PayPal
FB1111,973.86,6153.3,7.98,53,E Airlines,Economy,Frankfurt,PayPal
FB1112,4662.55,1111.9,24.36,43,Q Airways,Premium Economy,Singapore,UPI
FB1113,4078.98,1351.6,16.75,44,Airways,Economy,Mumbai,PayPal
FB1114,3240.34,7330.7,10.5,55,S Airlines,Premium Economy,Delhi,Debit Card
FB1115,4383.01,4289.2,7.37,39,S Airlines,Economy,Dubai,Net Banking
FB1116,4057.63,11032.0,18.41,43,Q Airways,Business,Delhi,Net Banking
FB1117,1095.54,5057.1,6.43,39,Q Airways,Business,New York,Net Banking
FB1118,4484.28,1976.4,4.71,22,S Airlines,First,Dubai,PayPal
FB1119,2788.84,8662.2,13.48,52,Airways,Economy,London,Net Banking
FB1120,4075.71,3732.2,7.6,19,E Airlines,Premium Economy,Mumbai,Credit Card
FB1121,4501.24,6448.0,15.91,52,B Airways,Economy,New York,Debit Card
FB1122,1726.42,8464.6,3.39,26,Q Airways,Economy,Mumbai,Net Banking
FB1123,728.25,10833.1,16.55,68,S Airlines,First,Dubai,Cash
FB1124,1294.09,9568.6,7.44,68,Airways,Premium Economy,Singapore,PayPal
FB1125,2250.12,8213.4,0.51,66,Q Airways,Economy,Paris,Debit Card
FB1126,4126.47,8251.7,3.61,35,Airways,Premium Economy,Singapore,Credit Card
FB1127,4331.51,11367.3,23.37,60,Q Airways,Economy,London,Net Banking
FB1128,233.37,3761.1,21.75,29,S Airlines,First,Dubai,Credit Card
FB1129,2651.59,313.0,6.22,20,Airways,Premium Economy,London,PayPal
FB1130,2203.57,3481.9,19.57,35,S Airlines,Economy,Dubai,Net Banking
FB1131,1266.12,2849.3,15.41,73,Airways,Business,London,Cash
FB1132,775.35,8043.5,24.29,55,Q Airways,Premium Economy,Dubai,Debit Card
FB1133,1820.55,7714.4,9.65,24,B Airways,First,Mumbai,Cash
FB1134,4725.97,7243.5,17.2,50,B Airways,Business,New York,Net Banking
FB1135,1751.37,490.0,2.06,23,E Airlines,Premium Economy,London,UPI
FB1136,2690.19,8826.7,10.21,35,E Airlines,Premium Economy,London,Debit Card
FB1137,3574.49,4085.3,24.11,62,S Airlines,Premium Economy,New York,Credit Card
FB1138,1945.42,8081.2,13.71,39,Airways,Premium Economy,Dubai,Net Banking
FB1139,4864.55,6812.0,7.55,68,E Airlines,Economy,Delhi,Cash
FB1140,4819.75,4310.0,3.45,56,Q Airways,Economy,Delhi,PayPal
FB1141,1408.56,1874.5,17.74,68,B Airways,Premium Economy,Mumbai,UPI
FB1142,2586.79,1404.7,16.3,26,Airways,First,Singapore,PayPal
FB1143,1644.22,10028.8,9.66,52,B Airways,Economy,Singapore,Net Banking
FB1144,1567.23,11045.3,23.8,40,Airways,Premium Economy,Mumbai,Credit Card
FB1145,377.06,7902.5,1.04,29,E Airlines,Premium Economy,Singapore,Cash
FB1146,3125.91,1510.2,7.94,69,E Airlines,First,New York,Debit Card
FB1147,2612.86,5003.7,23.07,41,S Airlines,First,Paris,UPI
FB1148,447.1,8828.6,8.36,79,Airways,First,New York,Net Banking
FB1149,1537.5,9423.9,6.68,67,Q Airways,Business,Paris,Net Banking
FB1150,4559.68,1683.2,13.59,57,E Airlines,Premium Economy,Paris,Net Banking
FB1151,1349.9,300.4,20.68,26,S Airlines,First,Frankfurt,Net Banking
FB1152,895.5,8632.0,3.03,30,E Airlines,Premium Economy,Frankfurt,Cash
FB1153,2549.37,4472.2,23.6,57,B Airways,Economy,Paris,Debit Card
FB1154,4931.12,3277.4,19.98,71,E Airlines,Premium Economy,Dubai,Credit Card
FB1155,1361.87,450.9,4.94,59,Airways,Premium Economy,Delhi,UPI
FB1156,3426.25,6621.5,17.94,34,S Airlines,Business,Mumbai,Net Banking
FB1157,3855.77,10258.5,9.93,24,Airways,Economy,New York,PayPal
FB1158,1340.66,11504.3,10.36,34,Q Airways,Economy,Dubai,Net Banking
FB1159,3695.44,6919.2,19.69,72,Q Airways,Business,Paris,Debit Card
FB1160,1965.36,6319.2,24.09,79,E Airlines,First,Mumbai,Debit Card
FB1161,3235.07,1295.2,3.6,67,S Airlines,First,Delhi,Cash
FB1162,3240.94,6721.8,10.81,41,S Airlines,Premium Economy,Singapore,Cash
FB1163,2771.72,4745.8,12.28,19,S Airlines,Business,Dubai,PayPal
FB1164,633.39,7403.5,9.72,52,S Airlines,First,Delhi,PayPal
FB1165,4209.45,4848.1,9.4,78,E Airlines,Economy,Mumbai,Cash
FB1166,1739.74,3111.5,1.78,45,Airways,Business,London,UPI
FB1167,1095.29,1411.1,17.3,36,E Airlines,First,Dubai,PayPal
FB1168,395.72,3984.5,11.19,50,Airways,Economy,New York,Cash
FB1169,3036.29,1430.7,5.27,38,B Airways,Business,Frankfurt,Net Banking
FB1170,3452.31,2369.7,20.49,70,B Airways,Premium Economy,Mumbai,Cash
FB1171,279.62,11851.8,20.16,27,Airways,Premium Economy,New York,UPI
FB1172,2658.05,5496.0,12.42,70,E Airlines,Economy,Mumbai,Cash
FB1173,1287.18,6522.9,7.81,63,Q Airways,First,Frankfurt,Cash
FB1174,3296.83,10521.3,16.13,62,E Airlines,First,Delhi,Net Banking
FB1175,1036.96,11948.2,7.56,26,Q Airways,Business,New York,PayPal
FB1176,3516.5,7117.8,6.28,55,E Airlines,Economy,New York,Net Banking
FB1177,2056.33,9805.9,18.4,23,S Airlines,First,Mumbai,Net Banking
FB1178,4696.3,4125.2,1.49,68,S Airlines,Premium Economy,Dubai,Cash
FB1179,860.1,3877.2,2.82,70,B Airways,Economy,Paris,Net Banking
FB1180,1837.12,5011.6,0.67,59,B Airways,Premium Economy,Frankfurt,Debit Card
FB1181,744.67,8168.3,4.25,72,Airways,Economy,Dubai,Credit Card
FB1182,4638.53,8281.6,2.19,52,Q Airways,Business,Frankfurt,Credit Card
FB1183,4411.23,3988.3,24.9,35,S Airlines,First,Mumbai,Net Banking
FB1184,1438.12,1858.6,7.58,70,E Airlines,First,Delhi,PayPal
FB1185,3367.92,7699.0,4.16,36,Airways,First,Dubai,UPI
FB1186,4122.67,1801.4,6.4,22,E Airlines,Premium Economy,London,Net Banking
FB1187,2864.96,7068.4,23.44,42,S Airlines,First,Paris,PayPal
FB1188,2742.32,8413.0,13.24,28,S Airlines,Economy,Frankfurt,Net Banking
FB1189,1360.89,8497.2,9.44,27,S Airlines,Premium Economy,Singapore,Cash
FB1190,646.89,9115.6,21.9,34,S Airlines,Business,Delhi,PayPal
FB1191,4506.64,10512.5,10.18,53,E Airlines,Premium Economy,Delhi,UPI
FB1192,4522.01,6149.5,8.71,43,Airways,Business,Singapore,Net Banking
FB1193,3238.89,8843.9,5.58,48,S Airlines,Premium Economy,Singapore,Debit Card
FB1194,1827.34,7544.3,9.76,49,B Airways,First,Dubai,PayPal
FB1195,1876.21,2483.7,8.26,38,Airways,Business,Mumbai,Credit Card
FB1196,3684.59,600.6,17.09,35,B Airways,First,Mumbai,PayPal
FB1197,4506.13,3629.1,7.59,77,E Airlines,Premium Economy,London,Debit Card
FB1198,4458.01,5483.5,14.64,35,S Airlines,Business,Paris,Debit Card
FB1199,3943.4,7520.1,2.11,18,Airways,Economy,Frankfurt,Debit Card
FB1200,3281.75,10244.5,5.19,31,S Airlines,Economy,Mumbai,UPI
FB1201,603.87,2596.1,10.48,25,S Airlines,Premium Economy,New York,UPI
FB1202,975.82,1768.9,23.46,19,Airways,Business,London,PayPal
FB1203,4513.06,11572.7,9.74,68,S Airlines,Economy,London,UPI
FB1204,3110.86,1564.1,16.77,32,S Airlines,First,Delhi,Credit Card
FB1205,244.15,5898.3,6.75,77,Q Airways,First,Delhi,Cash
FB1206,687.06,7151.1,3.61,51,Q Airways,Premium Economy,Paris,PayPal
FB1207,3384.81,6634.1,1.93,53,Airways,First,Dubai,Net Banking
FB1208,224.3,1306.6,7.98,79,Airways,First,New York,Net Banking
FB1209,971.88,967.2,4.36,18,S Airlines,First,Singapore,PayPal
FB1210,2833.92,1534.2,4.76,68,B Airways,Economy,Singapore,Cash
FB1211,3521.1,7151.4,19.14,38,Airways,Business,Paris,Net Banking
FB1212,3329.41,6668.8,0.89,59,S Airlines,Premium Economy,London,PayPal
FB1213,1276.49,3034.8,14.17,18,B Airways,Business,Paris,PayPal
FB1214,3618.46,7762.0,9.8,49,Q Airways,Business,Singapore,Debit Card
FB1215,1338.8,9894.8,12.91,37,Airways,Business,London,Credit Card
FB1216,1761.92,786.5,14.29,71,S Airlines,Economy,Singapore,Net Banking
FB1217,3783.16,6128.1,8.18,64,Q Airways,First,Dubai,Credit Card
FB1218,3318.24,8364.9,7.73,53,E Airlines,Premium Economy,Delhi,PayPal
FB1219,4276.27,3252.0,18.47,56,Q Airways,Business,Delhi,Cash
FB1220,3356.54,3900.9,21.85,47,S Airlines,First,London,PayPal
FB1221,2927.88,7479.6,5.22,24,B Airways,Economy,Paris,Net Banking
FB1222,649.64,10805.8,2.89,39,E Airlines,Business,Singapore,Credit Card
FB1223,1965.04,9776.1,22.5,74,E Airlines,First,Mumbai,Debit Card
FB1224,1472.97,7122.6,9.07,67,E Airlines,Economy,Dubai,Debit Card
FB1225,1371.15,8843.6,14.01,62,Airways,First,Singapore,PayPal
FB1226,4870.45,4568.4,9.31,27,S Airlines,Premium Economy,Frankfurt,Cash
FB1227,2086.87,7799.3,3.58,73,E Airlines,First,Mumbai,UPI
FB1228,4481.82,5754.3,14.94,25,Q Airways,First,Dubai,Net Banking
FB1229,3229.47,2522.3,13.37,44,B Airways,Premium Economy,Dubai,PayPal
FB1230,4015.09,8510.3,5.47,27,S Airlines,Premium Economy,Delhi,Debit Card
FB1231,2612.66,6810.6,11.57,31,Q Airways,First,London,Debit Card
FB1232,2969.14,4495.9,20.03,63,Airways,Premium Economy,Singapore,Cash
FB1233,2564.08,10962.7,14.97,76,E Airlines,First,Dubai,Debit Card
FB1234,1137.17,544.9,2.87,69,Q Airways,Business,Singapore,Net Banking
FB1235,3667.77,3994.5,13.93,71,S Airlines,First,Dubai,Cash
FB1236,1547.71,965.5,17.72,28,Q Airways,Economy,Paris,Credit Card
FB1237,316.72,9268.4,19.92,23,Airways,Premium Economy,New York,Cash
FB1238,3298.27,8514.7,15.91,38,B Airways,Business,Delhi,Net Banking
FB1239,1050.13,4176.8,4.24,79,E Airlines,Premium Economy,London,Net Banking
FB1240,4714.2,8205.3,17.9,50,S Airlines,Premium Economy,Mumbai,Credit Card
FB1241,4778.86,4932.5,17.09,36,E Airlines,Premium Economy,Mumbai,PayPal
FB1242,4591.35,9148.2,1.1,56,E Airlines,Economy,Paris,Cash
FB1243,1976.76,5613.9,10.59,41,E Airlines,Economy,Frankfurt,Net Banking
FB1244,274.19,5123.7,8.66,35,Q Airways,First,Delhi,Net Banking
FB1245,4655.93,11236.3,16.9,52,Q Airways,Economy,Dubai,Credit Card
FB1246,2255.28,3235.3,5.8,69,B Airways,Premium Economy,Delhi,UPI
FB1247,4839.94,1709.2,14.98,79,Airways,Business,London,Cash
FB1248,4825.38,7139.2,22.87,60,S Airlines,Business,New York,Net Banking
FB1249,4294.45,11641.1,20.05,54,Q Airways,Business,Mumbai,Debit Card
FB1250,1613.35,4720.7,23.08,36,E Airlines,Premium Economy,Singapore,Credit Card
FB1251,2048.47,1025.8,24.47,70,Airways,Economy,Mumbai,UPI
FB1252,4285.46,4269.9,0.76,41,S Airlines,Business,Frankfurt,UPI
FB1253,1721.23,6219.4,15.76,73,S Airlines,Premium Economy,Frankfurt,Credit Card
FB1254,1013.57,2194.5,10.61,79,S Airlines,Premium Economy,Frankfurt,UPI
FB1255,2872.65,7999.8,21.57,51,S Airlines,Business,Frankfurt,Net Banking
FB1256,4693.54,11973.7,6.67,39,B Airways,Business,London,UPI
FB1257,3540.94,5585.4,24.54,21,S Airlines,First,Dubai,Cash
FB1258,2936.29,4450.3,15.54,74,Airways,First,Delhi,Debit Card
FB1259,666.45,4988.2,19.94,27,Q Airways,Premium Economy,Mumbai,Net Banking
FB1260,3152.03,1647.2,2.6,19,Airways,First,Frankfurt,Credit Card
FB1261,4952.26,10634.3,4.99,25,E Airlines,First,Mumbai,Debit Card
FB1262,872.4,5153.5,19.08,50,B Airways,Business,Frankfurt,PayPal
FB1263,2687.98,4831.1,1.04,76,B Airways,First,Singapore,Net Banking
FB1264,4411.39,8018.4,20.51,55,E Airlines,Premium Economy,Delhi,Debit Card
FB1265,3755.69,5471.8,0.84,60,Airways,Business,Singapore,UPI
FB1266,3545.68,7884.3,16.6,76,Airways,First,Singapore,PayPal
FB1267,3571.92,1018.9,9.44,79,E Airlines,First,Frankfurt,Credit Card
FB1268,1925.56,9820.6,15.48,45,S Airlines,First,New York,Credit Card
FB1269,1609.24,11303.9,17.55,27,S Airlines,Economy,Dubai,Cash
FB1270,4084.93,7890.6,8.89,62,Q Airways,First,Mumbai,UPI
FB1271,4088.54,11468.4,3.15,18,Airways,First,New York,Cash
FB1272,4361.95,2071.8,2.21,51,Airways,Premium Economy,Paris,Cash
FB1273,4583.55,5885.8,14.93,20,E Airlines,First,Delhi,UPI
FB1274,2654.44,7341.1,13.26,26,E Airlines,Economy,New York,Net Banking
FB1275,2607.28,7106.3,18.68,22,S Airlines,Business,Dubai,PayPal
FB1276,4031.82,4997.1,12.99,59,Airways,First,Paris,Cash
FB1277,3319.83,4255.6,10.85,27,Airways,First,Dubai,Debit Card
FB1278,3569.44,1783.8,10.25,29,B Airways,Premium Economy,New York,PayPal
FB1279,4019.8,4883.4,1.15,35,Q Airways,First,Frankfurt,Net Banking
FB1280,4472.03,2203.1,8.72,75,Q Airways,First,Frankfurt,UPI
FB1281,1822.38,8892.1,24.41,38,S Airlines,First,Dubai,Credit Card
FB1282,2002.8,2743.3,21.9,38,Airways,First,New York,Net Banking
FB1283,651.11,985.2,8.57,18,B Airways,Business,London,Cash
FB1284,2975.74,6762.7,14.9,20,Airways,Premium Economy,London,Debit Card
FB1285,372.52,7264.2,21.26,22,E Airlines,Business,Dubai,PayPal
FB1286,2434.87,10501.4,11.31,42,S Airlines,Economy,London,UPI
FB1287,2804.69,7050.7,0.94,75,Q Airways,First,Delhi,Credit Card
FB1288,1575.4,4342.1,2.33,66,Airways,Economy,Mumbai,PayPal
FB1289,3036.0,9695.2,13.0,25,S Airlines,Business,Paris,Debit Card
FB1290,346.4,6621.3,24.25,34,Q Airways,Economy,Frankfurt,Credit Card
FB1291,379.27,1227.6,17.48,26,Airways,First,Delhi,UPI
FB1292,4148.48,6920.5,2.24,49,B Airways,Economy,Mumbai,PayPal
FB1293,1928.92,10923.8,5.14,23,S Airlines,Business,London,Net Banking
FB1294,809.89,4936.9,19.4,66,Airways,First,Paris,Cash
FB1295,2706.77,3767.0,21.12,57,Q Airways,Premium Economy,Delhi,UPI
FB1296,3895.97,1978.6,15.63,38,Q Airways,Business,Singapore,Debit Card
FB1297,1235.94,2071.9,16.29,24,B Airways,First,Frankfurt,Net Banking
FB1298,3189.87,5363.4,1.19,24,S Airlines,Premium Economy,Dubai,PayPal
FB1299,609.67,7269.5,20.8,64,S Airlines,Economy,Frankfurt,Credit Card
FB1300,448.07,1243.2,19.81,56,Airways,Economy,Mumbai,Net Banking
FB1301,2750.5,11293.0,6.85,71,Q Airways,Economy,Mumbai,Net Banking
FB1302,2795.05,9135.1,17.86,44,Q Airways,First,Singapore,Debit Card
FB1303,3259.66,7163.5,5.76,25,B Airways,Economy,Singapore,Cash
FB1304,3685.24,9992.7,1.49,26,B Airways,Economy,Dubai,Net Banking
FB1305,4884.09,1238.2,5.43,45,S Airlines,Premium Economy,London,Net Banking
FB1306,2678.24,5879.0,4.88,32,Q Airways,Premium Economy,Frankfurt,Cash
FB1307,1750.19,7672.1,8.77,19,Airways,Premium Economy,Delhi,Cash
FB1308,4016.89,9995.2,10.75,24,E Airlines,First,New York,Credit Card
FB1309,1499.99,9466.6,12.96,64,Airways,Business,New York,PayPal
FB1310,2307.06,3541.7,12.18,35,B Airways,Economy,Delhi,Credit Card
FB1311,576.59,11308.3,7.13,39,Airways,Economy,Delhi,Cash
FB1312,321.68,1754.8,1.21,67,Q Airways,First,London,UPI
FB1313,4820.71,10539.1,15.32,27,S Airlines,Economy,Frankfurt,Cash
FB1314,4212.7,11660.0,10.2,71,E Airlines,First,Frankfurt,Credit Card
FB1315,3540.68,2372.7,7.82,67,S Airlines,First,New York,Debit Card
FB1316,2162.97,8748.2,21.74,50,E Airlines,First,Dubai,Debit Card
FB1317,1031.81,771.3,18.8,24,E Airlines,Business,Delhi,PayPal
FB1318,950.9,5043.4,21.52,20,Q Airways,First,Mumbai,Net Banking
FB1319,1401.17,6340.5,12.63,31,Q Airways,Business,Mumbai,Debit Card
FB1320,2836.29,7093.5,3.71,61,B Airways,Business,Mumbai,Credit Card
FB1321,3630.06,11250.5,17.56,63,B Airways,Economy,Singapore,Debit Card
FB1322,3368.95,8165.3,5.55,78,E Airlines,Premium Economy,Singapore,UPI
FB1323,1543.68,5931.0,11.31,53,B Airways,Business,London,Cash
FB1324,4783.35,9773.2,2.09,30,Q Airways,Business,Delhi,Cash
FB1325,3741.91,11421.2,20.72,33,B Airways,Premium Economy,Singapore,Credit Card
FB1326,2860.9,558.2,3.59,33,E Airlines,Business,Mumbai,Net Banking
FB1327,3136.26,11795.5,22.63,71,S Airlines,Premium Economy,Singapore,Cash
FB1328,2214.08,1307.7,21.67,22,Airways,Economy,Frankfurt,Debit Card
FB1329,1389.11,9828.3,11.88,69,B Airways,First,Mumbai,UPI
FB1330,1908.67,3579.9,18.74,42,Q Airways,Premium Economy,Delhi,Net Banking
FB1331,3837.66,1846.5,15.68,55,S Airlines,First,Frankfurt,Net Banking
FB1332,269.09,5446.3,20.18,55,Q Airways,Premium Economy,London,Net Banking
FB1333,757.15,7834.3,11.08,67,B Airways,First,Dubai,Cash
FB1334,420.81,4757.1,19.75,55,E Airlines,Economy,Dubai,PayPal
FB1335,395.5,938.4,11.83,56,Airways,Business,Frankfurt,Net Banking
FB1336,4306.21,7313.7,23.55,73,Airways,Economy,Mumbai,Credit Card
FB1337,3577.56,10858.1,12.42,79,S Airlines,Business,Singapore,Debit Card
FB1338,2476.03,4783.6,11.83,73,Airways,First,Singapore,PayPal
FB1339,669.6,2831.1,19.73,65,E Airlines,First,Mumbai,UPI
FB1340,2559.76,5478.2,20.63,58,Q Airways,Business,New York,Debit Card
FB1341,2472.66,865.8,14.08,43,E Airlines,Premium Economy,Delhi,Credit Card
FB1342,1031.37,9899.7,4.91,76,S Airlines,Economy,Frankfurt,Credit Card
FB1343,2282.49,9968.2,11.96,30,S Airlines,Premium Economy,Mumbai,PayPal
FB1344,2112.82,7179.6,24.22,61,Airways,First,New York,Debit Card
